Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
360000,9.029062,-0.003693835,999.0,0.416666845480601,0.416666845480601,1.0
370000,8.898667,-0.603536,999.0,0.12500011175870895,0.12500011175870895,1.0
380000,9.129163,0.18691443,999.0,0.08333346496025722,0.08333346496025722,1.0
390000,9.053059,-0.34215802,999.0,0.250000175088644,0.250000175088644,1.0
400000,9.116021,-0.28437153,999.0,0.8333335717519125,0.8333335717519125,1.0
410000,9.087759,-0.6065229,999.0,0.6250001788139343,0.6250001788139343,1.0
420000,8.796507,0.33101913,999.0,0.2500001589457194,0.2500001589457194,1.0
430000,8.94437,-0.011793556,999.0,0.6250002682209015,0.6250002682209015,1.0
440000,9.00565,-0.62062484,999.0,-0.08333327621221542,-0.08333327621221542,1.0
450000,9.064899,-1.0320964,999.0,0.4999999701976776,0.4999999701976776,1.0
460000,8.999267,-0.36732775,999.0,0.33333349972963333,0.33333349972963333,1.0
470000,9.025786,0.0003160972,999.0,-0.24999994039535522,-0.24999994039535522,1.0
480000,8.94126,-0.28558645,999.0,1.3162692387898764e-07,1.3162692387898764e-07,1.0
490000,8.998525,0.05898176,999.0,1.375000435858965,1.375000435858965,1.0
500000,8.773606,0.50096023,999.0,0.08333347489436467,0.08333347489436467,1.0
510000,8.986277,0.48539734,999.0,1.2665987014770508e-07,1.2665987014770508e-07,1.0
520000,9.052056,0.040577825,999.0,0.33333351214726764,0.33333351214726764,1.0
530000,9.094826,-0.18879966,999.0,0.25000016763806343,0.25000016763806343,1.0
540000,8.984004,0.659529,999.0,7.450580596923828e-08,7.450580596923828e-08,1.0
550000,9.033837,0.17573227,999.0,0.12500012665987015,0.12500012665987015,1.0
560000,8.712809,-0.16057876,999.0,0.33333345750967663,0.33333345750967663,1.0
570000,8.805901,0.30790663,999.0,-0.12499993667006493,-0.12499993667006493,1.0
580000,8.865939,-0.5227115,999.0,-0.16666662693023682,-0.16666662693023682,1.0
590000,8.999892,0.013105569,999.0,0.3750002421438694,0.3750002421438694,1.0
600000,8.827781,0.034144707,999.0,0.416666900118192,0.416666900118192,1.0
610000,8.928876,0.25587106,999.0,0.25000017136335373,0.25000017136335373,1.0
620000,9.047199,-0.1874362,999.0,0.8333335444331169,0.8333335444331169,1.0
630000,8.988379,0.6721953,999.0,0.2500001788139343,0.2500001788139343,1.0
640000,8.9172735,0.22106321,999.0,-0.16666658967733383,-0.16666658967733383,1.0
650000,8.945343,-0.46398696,999.0,0.12500010803341866,0.12500010803341866,1.0
660000,8.994835,-0.2472581,999.0,0.25000013907750446,0.25000013907750446,1.0
670000,8.837484,0.17285155,999.0,0.25000015273690224,0.25000015273690224,1.0
680000,8.738585,-0.037009366,999.0,0.6666668852170309,0.6666668852170309,1.0
690000,8.585566,-0.88742995,999.0,0.7500001490116119,0.7500001490116119,1.0
700000,8.954415,0.25165185,999.0,-0.08333321412404378,-0.08333321412404378,1.0
710000,8.945155,0.064987786,999.0,0.25000013783574104,0.25000013783574104,1.0
