Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,TotalScore,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
2050000,0.11680112,1.1283654,0.4482235,0.019118994,0.00017729402,0.15909798,0.00059507013,8.061079025268555,None,None,None,1.0
2060000,0.120423526,0.96165264,0.046246164,0.0133470865,0.00017668537,0.1588951,0.0005930615,None,999.0,13.000000739470124,13.000000739470124,1.0
2070000,0.11161469,1.255484,0.4090366,0.022938492,0.000176094,0.15869798,0.00059111015,5.895721912384033,None,None,None,1.0
2080000,0.09521307,1.1209221,0.061791677,0.01859333,0.00017548536,0.1584951,0.0005891015,2.7289798259735107,999.0,14.25000162795186,14.25000162795186,1.0
2090000,0.10408811,1.3354893,0.36365828,0.025706619,0.000174894,0.15829797,0.00058715005,None,None,None,None,1.0
2100000,0.0998621,1.1445475,0.04428887,0.014630007,0.00017428536,0.15809509,0.00058514153,5.565552234649658,999.0,12.50000163167715,12.50000163167715,1.0
2110000,0.10183158,1.2030625,0.29511973,0.019559162,0.00017369399,0.157898,0.00058319006,None,None,None,None,1.0
2120000,0.07208908,1.0200123,0.036504008,0.019571941,0.00017308537,0.1576951,0.00058118155,14.391483306884766,999.0,9.750001098960638,9.750001098960638,1.0
2130000,0.071696945,1.1028326,0.33110172,0.019389905,0.000172494,0.15749796,0.0005792301,None,None,None,None,1.0
2140000,0.08674221,0.8315455,0.029710714,0.019550482,0.00017188535,0.1572951,0.0005772215,5.231565952301025,999.0,9.500001475214958,9.500001475214958,1.0
2150000,0.08307941,1.1613133,0.4730494,0.014375984,0.00017129401,0.15709798,0.0005752701,13.060484886169434,None,None,None,1.0
2160000,0.07298449,0.9838613,0.06931772,0.015622526,0.00017068535,0.1568951,0.0005732615,None,999.0,14.000000704079866,14.000000704079866,1.0
2170000,0.09635464,1.171757,0.33962736,0.009233768,0.00017009398,0.15669797,0.00057131005,7.894753932952881,None,None,None,1.0
2180000,0.08304984,0.88747156,0.031770255,0.016113156,0.00016948536,0.15649511,0.00056930154,6.7290568351745605,999.0,9.50000124424696,9.50000124424696,1.0
2190000,0.062177926,1.1204154,0.46205354,0.017951496,0.00016889401,0.15629798,0.0005673501,None,None,None,None,1.0
2200000,0.0643146,0.89722043,0.04204551,0.018313883,0.00016828536,0.1560951,0.00056534156,10.556764602661133,999.0,11.250001188367605,11.250001188367605,1.0
2210000,0.06496152,1.0042483,0.2877716,0.018188735,0.000167694,0.15589797,0.0005633901,None,None,None,None,1.0
2220000,0.057686187,0.9059455,0.07026701,0.018687466,0.00016708535,0.1556951,0.0005613816,12.394657135009766,999.0,11.25000137463212,11.25000137463212,1.0
2230000,0.07103383,1.2318964,0.4077926,0.023936488,0.00016649399,0.15549798,0.0005594301,None,None,None,None,1.0
2240000,0.07580729,1.0856845,0.051122557,0.019735564,0.00016588536,0.1552951,0.00055742153,10.227272987365723,999.0,13.500000655651093,13.500000655651093,1.0
2250000,0.079003654,1.2929326,0.41817692,0.022642724,0.000165294,0.15509798,0.00055547006,10.060392379760742,None,None,None,1.0
2260000,0.07305386,0.9899365,0.020095587,0.019296937,0.00016468536,0.15489511,0.0005534616,None,999.0,10.75000137835741,10.75000137835741,1.0
2270000,0.093511924,1.2567152,0.43097118,0.019520001,0.00016409399,0.15469797,0.0005515101,10.894498825073242,None,None,None,1.0
2280000,0.091612585,1.1261675,0.06435597,0.018334698,0.00016348535,0.15449509,0.00054950156,4.729013442993164,999.0,14.25000161677599,14.25000161677599,1.0
2290000,0.087482594,1.2679608,0.37687728,0.020138362,0.00016289402,0.154298,0.0005475501,None,None,None,None,1.0
2300000,0.09968844,1.009676,0.035229303,0.019973438,0.00016228537,0.1540951,0.0005455416,8.556756973266602,999.0,11.500001698732376,11.500001698732376,1.0
2310000,0.15679953,1.2837228,0.48111486,0.019234044,0.000161694,0.15389796,0.00054359,None,None,None,None,1.0
2320000,0.14043865,1.0017513,0.030911412,0.0227154,0.00016108537,0.1536951,0.00054158154,8.391190528869629,999.0,12.250001199543476,12.250001199543476,1.0
2330000,0.1435113,1.2315491,0.38994518,0.015577572,0.000160494,0.15349798,0.0005396301,None,None,None,None,1.0
2340000,0.12050458,0.95122445,0.02144963,0.019784888,0.00015988537,0.1532951,0.00053762156,8.226542472839355,999.0,10.500000976026058,10.500000976026058,1.0
2350000,0.09884713,1.1442983,0.36339274,0.016339228,0.000159294,0.15309799,0.00053567,9.060855865478516,None,None,None,1.0
2360000,0.16191941,0.91254056,0.028888512,0.017246444,0.00015868536,0.15289511,0.0005336616,None,999.0,11.00000156648457,11.00000156648457,1.0
2370000,0.17714177,1.1245595,0.44271007,0.020795861,0.000158094,0.15269798,0.00053171004,9.894372940063477,None,None,None,1.0
2380000,0.19002652,0.8601547,0.028985884,0.017061751,0.00015748535,0.1524951,0.00052970153,2.7289910316467285,999.0,10.500000789761543,10.500000789761543,1.0
2390000,0.17989667,1.1418527,0.4203709,0.015924836,0.00015689399,0.15229797,0.00052775006,None,None,None,None,1.0
2400000,0.14860024,0.8758666,0.03747063,0.016030373,0.00015628536,0.1520951,0.00052574155,9.557348251342773,999.0,11.7500015553087,11.7500015553087,1.0
2410000,0.15051907,1.2383199,0.48992705,0.016892092,0.00015569401,0.15189798,0.0005237901,None,None,None,None,1.0
2420000,0.12564087,0.92339855,0.020737141,0.017761469,0.00015508535,0.1516951,0.0005217815,3.3975830078125,999.0,11.000000987201929,11.000000987201929,1.0
2430000,0.07404283,1.2701594,0.62327105,0.015926285,0.00015449402,0.151498,0.0005198301,None,None,None,None,1.0
2440000,0.06057303,0.94789237,0.020396328,0.014034251,0.00015388537,0.15129511,0.0005178215,10.228080749511719,999.0,14.000000596046448,14.000000596046448,1.0
2450000,0.082832806,1.1374956,0.42393056,0.027598297,0.000153294,0.15109797,0.00051587005,6.063169002532959,None,None,None,1.0
2460000,0.0778869,1.026024,0.058204144,0.022432683,0.00015268536,0.15089509,0.00051386154,None,999.0,12.500001586973667,12.500001586973667,1.0
2470000,0.08221006,1.2010282,0.3877482,0.021206116,0.000152094,0.15069799,0.00051191007,9.89428997039795,None,None,None,1.0
2480000,0.069992594,1.0202223,0.06916742,0.019432742,0.00015148536,0.1504951,0.00050990155,3.7289912700653076,999.0,12.000000987201929,12.000000987201929,1.0
2490000,0.06392182,1.3064364,0.47279167,0.019729504,0.00015089399,0.15029798,0.00050795,None,None,None,None,1.0
2500000,0.08143448,1.0711312,0.04539046,0.014410632,0.00015028537,0.1500951,0.00050594157,8.556941986083984,999.0,13.250001586973667,13.250001586973667,1.0
2510000,0.0749413,1.3435918,0.43588045,0.015740136,0.000149694,0.14989798,0.0005039901,None,None,None,None,1.0
2520000,0.08176166,1.1242905,0.08111079,0.01448932,0.00014908536,0.1496951,0.0005019816,9.393438339233398,999.0,15.250001799315214,15.250001799315214,1.0
2530000,0.058816686,1.3360026,0.47410306,0.016409302,0.00014849401,0.14949799,0.00050003006,None,None,None,None,1.0
2540000,0.07790643,1.0486001,0.03930729,0.017637143,0.00014788537,0.1492951,0.0004980216,6.231481075286865,999.0,12.000001246109605,12.000001246109605,1.0
2550000,0.10498605,1.4069842,0.5563523,0.017901354,0.000147294,0.14909798,0.0004960701,4.0634894371032715,None,None,None,1.0
2560000,0.08992214,1.1333648,0.063491516,0.018413033,0.00014668537,0.1488951,0.00049406145,None,999.0,14.500002041459084,14.500002041459084,1.0
2570000,0.07427242,1.261386,0.38600674,0.021396438,0.000146094,0.14869797,0.0004921101,8.894647598266602,None,None,None,1.0
2580000,0.09596299,1.1163857,0.081229314,0.019506048,0.00014548536,0.1484951,0.0004901015,2.7289724349975586,999.0,12.500001665204763,12.500001665204763,1.0
2590000,0.091004126,1.3730159,0.45804104,0.018205903,0.000144894,0.14829798,0.00048815002,None,None,None,None,1.0
2600000,0.09730276,1.1022618,0.06810159,0.016275045,0.00014428537,0.1480951,0.00048614154,9.558817863464355,999.0,14.000000949949026,14.000000949949026,1.0
2610000,0.08547992,1.5279413,0.47744608,0.017842075,0.00014369401,0.14789797,0.00048419004,None,None,None,None,1.0
2620000,0.098267615,1.2490197,0.05909575,0.016201861,0.00014308537,0.14769511,0.0004821815,12.392419815063477,999.0,15.500001054257154,15.500001054257154,1.0
2630000,0.1226329,1.5355717,0.30726668,0.027548285,0.000142494,0.14749797,0.00048023005,None,None,None,None,1.0
2640000,0.10255667,1.2195936,0.07147435,0.024887722,0.00014188536,0.14729509,0.0004782215,13.228785514831543,999.0,13.000001838430762,13.000001838430762,1.0
2650000,0.10219085,1.5223343,0.5178532,0.022467455,0.00014129402,0.14709799,0.00047627,10.0606050491333,None,None,None,1.0
2660000,0.08466535,1.1655606,0.04909823,0.018026426,0.00014068536,0.1468951,0.0004742615,None,999.0,15.000001560896635,15.000001560896635,1.0
2670000,0.08888486,1.4357946,0.5004085,0.020926187,0.00014009401,0.14669798,0.00047231003,8.895100593566895,None,None,None,1.0
2680000,0.0770639,1.0635569,0.023636246,0.022566607,0.00013948535,0.1464951,0.00047030151,3.7289912700653076,999.0,12.25000149384141,12.25000149384141,1.0
2690000,0.08623533,1.3559551,0.42457667,0.024825582,0.000138894,0.14629798,0.00046835002,None,None,None,None,1.0
2700000,0.07282058,1.0059,0.0559903,0.018337933,0.00013828537,0.1460951,0.00046634153,11.557050704956055,999.0,11.250001460313797,11.250001460313797,1.0
2710000,0.10579452,1.3297157,0.53074294,0.016074918,0.000137694,0.14589798,0.00046439003,None,None,None,None,1.0
2720000,0.10414275,1.0477923,0.039171945,0.017993184,0.00013708536,0.1456951,0.00046238155,11.39112377166748,999.0,13.500001836568117,13.500001836568117,1.0
2730000,0.106599115,1.4141085,0.57945466,0.012867819,0.000136494,0.14549798,0.00046043002,None,None,None,None,1.0
2740000,0.11918919,1.0847814,0.06472467,0.018501434,0.00013588538,0.1452951,0.00045842156,14.227396965026855,999.0,15.250001441687346,15.250001441687346,1.0
2750000,0.15560046,1.3195797,0.38564482,0.012161271,0.00013529403,0.14509797,0.00045647006,10.060121536254883,None,None,None,1.0
2760000,0.1350051,1.0117735,0.037895218,0.021494782,0.00013468537,0.1448951,0.00045446158,None,999.0,10.750000778585672,10.750000778585672,1.0
2770000,0.11753179,1.339371,0.482937,0.012548875,0.00013409402,0.14469798,0.00045251005,10.89472484588623,None,None,None,1.0
2780000,0.099453025,1.1090078,0.05923471,0.026596824,0.00013348539,0.1444951,0.00045050154,3.728985548019409,999.0,14.25000205077231,14.25000205077231,1.0
2790000,0.10085304,1.4256643,0.50862914,0.01670975,0.00013289401,0.144298,0.00044855007,None,None,None,None,1.0
